transaction_date,symboling,normalized-losses,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,diesel,gas,horsepower_ordinal,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_awd,drive-wheels_fwd,drive-wheels_rwd,aspiration_std,aspiration_turbo,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,fuel-system_1bbl,fuel-system_2bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,make_frequency
2025-01-01,1.0,122,0,0,0.068965517241379,0.4504065040650409,0.3247863247863245,0.488,0.41117145073700545,0.19999999999999996,0.2839506172839506,3.47,2.68,9.0,0.39622641509433965,0.346938775510204,0.2,0.2894736842105263,0.20795888982672162,11.190476190476188,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.016129032258064516
2025-02-01,1.0,122,0,0,0.068965517241379,0.4504065040650409,0.3247863247863245,0.488,0.41117145073700545,0.19999999999999996,0.2839506172839506,3.47,2.68,9.0,0.39622641509433965,0.346938775510204,0.2,0.2894736842105263,0.2825579663373219,11.190476190476188,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.016129032258064516
2025-01-03,0.6000000000000001,122,0,0,0.27241379310344804,0.4894308943089434,0.44444444444444464,0.524,0.5178432893716058,0.6000000000000001,0.37448559670781895,2.68,3.47,9.0,0.6666666666666666,0.346938775510204,0.14285714285714285,0.26315789473684204,0.2825579663373219,12.36842105263158,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.016129032258064516
2025-01-04,0.8,164,1,0,0.45517241379310347,0.5772357723577235,0.5042735042735043,0.5429999999999999,0.3293250581846392,0.19999999999999996,0.19753086419753085,3.19,3.4,10.0,0.339622641509434,0.5510204081632655,0.28571428571428575,0.368421052631579,0.21925425748473265,9.791666666666666,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
2025-01-05,0.8,164,1,0,0.4413793103448276,0.5772357723577235,0.5213675213675231,0.5429999999999999,0.5182311869666407,0.3999999999999999,0.30864197530864196,3.19,3.4,8.0,0.42138364779874216,0.5510204081632655,0.11428571428571427,0.1578947368421053,0.30614170100789434,13.055555555555555,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
2025-06-01,0.8,122,0,0,0.45517241379310347,0.588617886178862,0.5128205128205119,0.531,0.3952676493405741,0.3999999999999999,0.30864197530864196,3.19,3.4,8.5,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,0.25152673650762125,12.36842105263158,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
2025-01-07,0.6000000000000001,158,1,0,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.557,0.525989138867339,0.3999999999999999,0.30864197530864196,3.19,3.4,8.5,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,0.3125961968124721,12.36842105263158,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
2025-01-08,0.6000000000000001,122,1,0,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.557,0.5686578743211792,0.3999999999999999,0.30864197530864196,3.19,3.4,8.5,0.389937106918239,0.5510204081632655,0.14285714285714285,0.23684210526315785,0.3426344272876223,12.36842105263158,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
2025-01-09,0.6000000000000001,158,1,0,0.6620689655172414,0.8390243902439023,0.9487179487179498,0.5589999999999999,0.6198603568657874,0.3999999999999999,0.28806584362139925,3.13,3.4,8.3,0.5786163522012578,0.5510204081632655,0.08571428571428574,0.10526315789473684,0.46564222233255553,13.823529411764708,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
2025-10-01,0.8,192,0,0,0.5034482758620689,0.5804878048780489,0.38461538461538414,0.5429999999999999,0.35182311869666405,0.19999999999999996,0.1934156378600823,3.5,2.8,8.8,0.33333333333333337,0.6734693877551019,0.2571428571428572,0.3421052631578947,0.28082021746685865,10.217391304347826,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.03763440860215054
